current_time,temperature,usage_cpu1,usage_cpu2,usage_cpu3,usage_cpu4,memory_cpu,memory_gpu,frequency_cpu,frequency_core,loadavg_1,loadavg_5,loadavg_15
210623-00:00:00,53.36,33.97,89.49,16.31,46.01,190.73,278.92,218.38,926.46,1.42,1.10,1.57
210623-00:00:00,55.13,87.05,12.87,64.57,2.95,461.44,291.66,711.64,665.08,0.89,0.37,0.70
210623-00:00:01,47.63,40.67,13.72,49.96,37.21,626.74,723.60,736.56,532.12,0.70,1.94,0.12
210623-00:00:01,2.02,39.37,32.87,6.45,15.77,249.47,845.13,827.80,987.49,0.51,0.35,0.71
210623-00:00:02,31.21,2.28,79.78,64.88,23.15,753.97,415.64,371.52,511.10,1.96,1.81,1.91
210623-00:00:02,18.66,93.44,34.33,39.53,16.44,745.14,919.05,89.90,461.91,0.57,1.65,1.17
210623-00:00:03,23.69,82.30,54.94,77.13,39.21,691.20,277.34,849.49,182.70,0.49,0.38,0.88
210623-00:00:03,17.13,19.15,24.37,22.71,33.90,84.78,549.46,682.09,112.02,1.95,0.75,1.02
210623-00:00:04,54.26,4.10,27.61,14.54,13.14,693.97,587.73,229.78,143.14,1.95,0.75,0.22
210623-00:00:04,45.02,28.06,21.59,95.75,60.91,149.60,222.93,242.67,673.67,1.64,0.81,0.48
210623-00:00:05,69.93,90.24,56.15,60.30,27.15,32.38,688.79,55.80,112.94,0.88,1.74,0.62
210623-00:00:05,52.19,94.64,97.73,37.67,85.23,915.23,706.97,247.27,375.82,0.73,1.72,1.44
210623-00:00:06,22.63,97.90,22.20,25.40,11.57,392.95,650.50,734.20,993.12,1.60,1.53,0.48
210623-00:00:06,40.14,98.38,98.23,47.18,63.68,675.16,71.56,94.34,697.74,0.37,0.53,1.00
210623-00:00:07,29.72,76.84,60.14,21.48,75.91,796.74,995.91,784.35,736.94,1.11,0.46,0.08
210623-00:00:07,57.87,14.35,91.80,45.87,68.18,914.08,788.35,676.77,790.60,0.86,1.82,1.22
210623-00:00:08,27.91,6.72,54.35,74.56,90.25,816.60,302.08,728.20,966.31,0.37,1.63,1.43
210623-00:00:08,4.77,74.32,66.77,22.14,15.92,737.45,272.51,52.74,147.50,1.06,0.29,1.81
210623-00:00:09,25.94,20.16,37.28,90.07,51.35,307.73,785.12,321.86,555.15,0.44,1.05,1.21
210623-00:00:09,55.16,54.65,18.04,63.90,24.32,334.07,946.86,506.81,339.59,0.63,1.32,1.52
210623-00:00:10,48.88,65.56,7.92,42.56,94.11,555.67,455.07,949.39,45.38,1.84,1.78,0.78
210623-00:00:10,69.32,89.68,97.70,20.76,43.52,612.69,592.31,846.76,654.54,1.47,1.75,0.33
210623-00:00:11,17.33,95.52,49.29,84.93,24.99,716.29,781.02,393.41,671.28,1.24,0.87,0.81
